sale_id,parcel_id,dwelling_type,zoning_type,lot_frontage,lot_area,street_surface,alley_surface,property_shape,property_flatness,util_avail,lot_position,property_slope,ames_neighborhood,prox_to_transport,prox_to_transport_2,bldg_type,floors,house_quality,house_condition,year_built,year_remodeled,roof_style,roof_material,ext_covering,ext_covering2,masonry_veneer_type,masonry_veneer_area,exterior_quality,exterior_condition,foundation_type,basement_height,basement_condition,basement_walkouts,basement_finished_rating,finished_area,basement_finished_rating2,finished_area2,unfinished_area,total_basement_area,heating_type,heating_quality,central_air,electrical_setup,first_fl_area,second_fl_area,low_qual_finished_area,above_ground_living_area,full_bathrooms_basement,half_bathrooms_basement,full_bathrooms_above_ground,half_bathrooms_above_ground,bedrooms_above_ground,kitchens_above_ground,kitchen_quality,total_rooms_above_ground,home_functionality,number_fireplaces,fireplace_quality,garage_location,garage_yr_built,garage_finished,garage_car_capacity,garage_size,garage_quality,garage_condition,driveway_surface,wood_deck_size,open_porch_size,enclose_porch_size,three_season_porch_size,screen_porch_size,pool_size,pool_quality,fence_quality,misc_features,misc_features_value,month_sold,year_sold,sale_type,sale_price
544,531379050,60,RL,43.0,11492.0,Pave,nan,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,Gd,TA,PConc,Gd,TA,No,GLQ,637.0,Unf,0.0,276.0,913.0,GasA,Ex,Y,SBrkr,913.0,1209.0,0.0,2122.0,1.0,0.0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,1997.0,RFn,2.0,559.0,TA,TA,Y,0.0,74.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,4,2009,WD ,220000.0
153,535304180,20,RL,68.0,7922.0,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,0.0,326.0,1057.0,GasA,TA,Y,SBrkr,1057.0,0.0,0.0,1057.0,1.0,0.0,1,0,3,1,Gd,5,Typ,0,nan,Detchd,1953.0,Unf,1.0,246.0,TA,TA,Y,0.0,52.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,1,2010,WD ,109000.0
318,916386060,60,RL,73.0,9802.0,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,384.0,384.0,GasA,Gd,Y,SBrkr,744.0,700.0,0.0,1444.0,0.0,0.0,2,1,3,1,TA,7,Typ,0,nan,BuiltIn,2007.0,Fin,2.0,400.0,TA,TA,Y,100.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,4,2010,WD ,174000.0
255,906425045,50,RL,82.0,14235.0,Pave,nan,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,PConc,Fa,Gd,No,Unf,0.0,Unf,0.0,676.0,676.0,GasA,TA,Y,SBrkr,831.0,614.0,0.0,1445.0,0.0,0.0,2,0,3,1,TA,6,Typ,0,nan,Detchd,1957.0,Unf,2.0,484.0,TA,TA,N,0.0,59.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,3,2010,WD ,138500.0
2827,908186070,180,RM,35.0,3675.0,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,TA,TA,PConc,Gd,TA,Gd,GLQ,547.0,Unf,0.0,0.0,547.0,GasA,Gd,Y,SBrkr,1072.0,0.0,0.0,1072.0,1.0,0.0,2,0,2,1,TA,5,Typ,0,nan,Basment,2005.0,Fin,2.0,525.0,TA,TA,Y,0.0,44.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,6,2006,New,140000.0
1956,535426130,60,RL,70.0,11606.0,Pave,nan,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,TA,TA,PConc,Gd,TA,Av,Rec,650.0,Unf,0.0,390.0,1040.0,GasA,TA,Y,SBrkr,1040.0,1040.0,0.0,2080.0,0.0,1.0,1,2,5,1,Fa,9,Typ,2,TA,Attchd,1969.0,Unf,2.0,504.0,TA,TA,Y,335.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,9,2007,WD ,135000.0
2752,906380150,20,RL,64.0,7488.0,Pave,nan,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,393.0,Unf,0.0,815.0,1208.0,GasA,Ex,Y,SBrkr,1208.0,0.0,0.0,1208.0,0.0,0.0,2,0,2,1,Gd,6,Typ,0,nan,Attchd,2005.0,RFn,2.0,632.0,TA,TA,Y,105.0,58.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,2,2006,WD ,183600.0
1480,907418040,20,RL,74.0,9627.0,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,0.0,1327.0,1351.0,GasA,Ex,Y,SBrkr,1361.0,0.0,0.0,1361.0,0.0,0.0,2,0,3,1,Gd,6,Typ,0,nan,Attchd,2007.0,RFn,2.0,610.0,TA,TA,Y,0.0,50.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,6,2008,WD ,193000.0
324,923202105,20,RL,93.0,10114.0,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1430.0,1430.0,GasA,Ex,Y,SBrkr,1430.0,0.0,0.0,1430.0,0.0,0.0,2,0,3,1,Gd,7,Typ,0,nan,Attchd,2004.0,RFn,2.0,624.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,3,2010,WD ,173500.0
1311,902301140,70,RM,34.0,4571.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,624.0,624.0,GasA,Fa,N,SBrkr,624.0,720.0,0.0,1344.0,0.0,0.0,1,0,4,1,TA,7,Typ,0,nan,Detchd,1916.0,Unf,3.0,513.0,Fa,Fa,Y,0.0,0.0,96.0,0.0,0.0,0.0,nan,nan,nan,0.0,5,2008,COD,98000.0
